name,is_client,is_supplier,code,is_working_address,city,street,street_number,zip,phone,mobile,email,vat_reg_code
Henning,1,0,53,0,München,Rehkemperstraße,8,81247,896563893,,,
Mijn ,1,0,54,1,Lummen,Schansstraat,30,3560,1234,,,
NoaddressCompany,0,0,55,1,,,,,02 345,,,
Fam. Janssens-Peeters,1,0,56,0,Balen,Kerkstraat 12,,2490,3214123456789,,,
Caterpilar,1,0,57,1,Jette,De Smet de Naeyerlaan,320,1090,+32 2 513 48 19,,,
First Bicobel,1,1,58,1,Machelen,Sint-Korneliusstraat,7,1831,09 345 567,,info@company1.com,458.567.456
NewCompany,0,0,59,1,Elsene,charleroise steenweg,100,1050,02 345 234,,,
Fire Security,1,0,60,1,Hoeilaart,Charles Coppensstraat,70,1560,02 542 13 25,,,
BHV AG,1,0,61,1,Brussel,Stalingradlaan,96,1000,+32 2 513 48 19,,,
Familie Convent,0,0,62,1,Brussel,Sint-Katelijneplein,3,1000,+32 2 513 48 19,,,
Top IV,0,0,63,1,Ukkel,rue Moscicki,25,1180,02 345 345,,,
ODS,0,0,64,1,Brussel,Gildenstraat,24,1000,02 111 222,,,
